userId,age,weight,height,bmi,heart_rate,fitness_level,goal_weight_loss,goal_muscle_gain,goal_endurance,goal_flexibility,experience_years,weekly_frequency,avg_session_duration
0,0.9565217391304348,0.6489017153416853,0.5943487484947885,0.42600822378111414,0.07692307692307693,0.8503926220289328,0.6250217916119715,0.386744635596981,0.2979765591312285,0.053957206082096254,0.1111111111111111,0.0,0.9101123595505618
1,0.8043478260869565,0.7628224928804306,0.3530406050629867,0.6406453701237961,0.5128205128205128,0.01753408284711148,0.8348402110748624,0.7879170231829252,0.8714464974599802,0.9842433105193442,0.8888888888888888,0.2,0.3258426966292135
2,0.41304347826086957,0.7584319645058358,0.6012353569097237,0.49909039593234056,0.02564102564102564,0.14153627170086303,0.9472978413525949,0.5267936580617872,0.4153069342026788,0.26368927014260074,0.2222222222222222,0.8,0.38202247191011235
3,0.0,0.5656145798912752,0.4312568734287904,0.43715081877708656,0.9743589743589743,0.2210605832634621,0.38708264258911096,0.9146964739608127,0.4506561563775634,0.6153652865261402,0.1111111111111111,0.2,0.4606741573033708
4,0.7608695652173914,0.6786002331328437,0.2689371383002165,0.621893995521142,0.46153846153846156,0.12700766564497556,0.3157629076602445,0.36568538102314946,0.5711113861081902,0.43931736574674135,0.4444444444444444,0.8,0.5280898876404494
5,0.06521739130434782,0.16952387022713647,0.311688281746319,0.15347306136007355,0.5897435897435898,0.33756164417886025,0.6763970635417245,0.3183026470029073,0.7796209259830824,0.9549319623551289,0.5555555555555556,0.0,0.5617977528089888
6,0.782608695652174,0.5926771568917594,0.48874366266113023,0.43169469959029344,1.0,0.451510225579633,0.019244971943075284,0.4451508195633698,0.9812110268643539,0.3594407254601842,0.2222222222222222,0.2,0.6966292134831461
7,0.7608695652173914,0.6300912556616216,0.5872810850353949,0.4158648437445493,0.6923076923076923,0.920353156802627,0.9237008064694046,0.07981586471894053,0.27812616251767347,0.006170433269058163,0.2222222222222222,0.6,0.898876404494382
8,0.6956521739130435,0.7185709094241101,0.3499547367678533,0.605429390578634,0.3333333333333333,0.001901826119404756,0.6794724509670641,0.27022230965145677,0.7363946625108716,0.9676641555032384,0.8888888888888888,0.0,0.21348314606741572
9,0.6739130434782609,0.919690203299267,0.649688672146626,0.58445531369447,0.07692307692307693,0.9566329633351127,0.4479401354635827,0.8574511055354347,0.7006180037674771,0.29686952236697095,1.0,1.0,0.8426966292134831
10,0.34782608695652173,0.6326650450042531,0.5717564860196016,0.42431600017974175,0.6410256410256411,0.5897832081171152,0.6612581536648985,0.5383649570526697,0.23085882805211122,0.39518759045556723,0.4444444444444444,0.6,0.7865168539325843
11,0.45652173913043476,0.7693274181572808,0.2740737118253614,0.6996935701654703,0.6153846153846154,0.6195416894837158,0.4295165247804781,0.1331610856302569,0.29872557472327876,0.5718749445761967,1.0,0.2,0.4943820224719101
