exerciseId,name,intensity,duration,equipment_required,difficulty,cardio_focus,strength_focus,flexibility_focus,calories_burned,muscle_group,space_required,skill_level,injury_risk,popularity
0,跑步_0,0.5823447766288943,0.5306122448979592,1.0,0.26840270334967026,0.3348708520939036,0.49352559431466625,0.1327848008486641,0.5934343434343434,0.8888888888888888,0.25401702959557465,0.05614777517301463,0.6668387204594558,0.548602771922433
1,深蹲_1,0.9303571257577685,0.02040816326530612,0.0,0.5321468789394579,0.8671462678206617,0.018193307050595398,0.37068660213379667,0.18939393939393934,0.5555555555555556,0.25150086979679115,0.00936829874004916,0.3405085557070186,0.033905018676113244
2,卧推_2,0.9163733330105773,0.5306122448979592,0.0,0.9917379269854851,0.46378947752415595,0.7732080656780311,0.34922676342215925,0.10101010101010102,0.2222222222222222,0.9788441799259476,0.6894911520052246,0.023498606917822,0.2328395217668097
3,引体向上_3,0.2582502970786096,0.12244897959183673,1.0,0.42565472382146813,0.5802611550359512,0.8971669675349476,0.32726706948870427,0.36616161616161613,1.0,0.26750752999963817,0.042223881013770004,0.01401650175174981,0.2736111981699045
4,瑜伽_4,0.9419223098083845,0.5510204081632653,1.0,0.6602614170179867,0.10657337896967975,0.7951299715456738,0.20136668710385186,0.9292929292929293,0.8888888888888888,0.34582689367228,0.4861519858758205,0.2338740796034854,0.029390928642958516
5,平板支撑_5,0.06322080680567509,0.6530612244897959,0.0,0.5792435532689446,0.799122561258542,0.8933580033682578,0.05230686984747806,0.32575757575757575,1.0,0.6089099284960523,0.792872785910058,0.9417579442143711,0.753146361071453
6,波比跳_6,0.17038815213372122,0.6122448979591837,0.0,0.11110120347433809,0.4908281516365138,0.5299604957133872,0.391336727003559,0.45202020202020204,0.3333333333333333,0.8537957775114149,0.7636174174406678,0.41674476090402623,0.3314712421049224
7,俯卧撑_7,0.5710970015723377,0.3673469387755102,1.0,0.7832761978997133,0.8569543337940901,0.2760723758153179,0.7895397956997796,0.3106060606060606,1.0,0.8144474827644813,0.5144708942580692,0.9716221509014977,0.49522756620559627
8,硬拉_8,0.7779917006827352,0.12244897959183673,0.0,0.08153749268295525,0.20265869986956464,0.8602599936152646,0.903720355619641,0.3636363636363636,0.0,0.4904416552317646,0.4617126228907308,0.9630873427700885,0.9472130528745536
9,划船_9,0.21536711401581962,0.5306122448979592,1.0,0.6287119087142199,0.5180241356636195,0.8065985928133519,0.6543180629958442,0.8358585858585857,0.4444444444444444,0.44699449701811694,0.37687307317192,0.9739747520937326,0.9209933307027798
10,单车_10,0.33305035572308767,0.30612244897959184,0.0,0.5989232129524361,0.7225097810377165,0.8634035882493506,0.9174201327650024,0.595959595959596,0.3333333333333333,0.7898852010190199,0.7325694697579337,0.34035266758572913,0.9352010132334568
11,游泳_11,0.13609793731577632,0.0,1.0,0.8947203785734154,0.6402567400517514,0.3851258689333795,0.0856009952902443,0.6590909090909091,0.8888888888888888,0.5145046901915719,0.3935458208633987,0.9530268194830781,0.6010241312395954
12,拉伸_12,0.7071408838995555,0.5510204081632653,0.0,0.8074360622851351,0.6929423973848009,0.9456877659516161,0.01819966203841519,0.3106060606060606,0.6666666666666666,0.2938323081876235,0.9170142675145204,0.7781781001437478,0.6662357317348354
13,普拉提_13,0.39904831560472737,0.061224489795918366,0.0,0.16019644232606736,0.1251260463612186,0.34176944917653745,0.7543346776754366,0.5580808080808081,0.7777777777777778,0.058538414717596986,0.8106654455082034,0.5253496420527188,0.865535489235288
14,箭步蹲_14,0.6133836316416134,0.3469387755102041,1.0,0.34995848286565706,0.6091772101583162,0.005818331454034886,0.42978881382966694,0.9747474747474747,0.8888888888888888,0.2110703696670116,0.19245368955843634,0.9750479996745461,0.3038206375220903
15,哑铃弯举_15,0.8397372182878344,0.2857142857142857,1.0,0.9716938127209266,0.07439877117568632,0.10283423884996643,0.6652992393127809,0.10101010101010102,0.0,0.7475199712018541,0.9007745896717838,0.5156431104073038,0.3520882974772014
16,仰卧起坐_16,0.520019272514977,0.7755102040816326,1.0,0.6855431695266905,0.870006084632931,0.30239597477573094,0.9011509957258457,0.22727272727272727,1.0,0.3743662651522044,0.06892782731603354,0.6128332821617922,0.24331686909955957
17,登山跑_17,0.23318761778746933,0.08163265306122448,1.0,0.24864674763011826,0.24207331813990204,0.47271363946398126,0.9519684815694571,0.9469696969696969,0.3333333333333333,0.11175486387385998,0.1917868585293872,0.007969113172114453,0.0
18,开合跳_18,0.7774076653030273,0.6530612244897959,1.0,0.7685673287730141,0.9896950715593925,0.11961859529531725,0.40226657588701853,0.5479797979797979,0.1111111111111111,0.7327506621429247,0.30563661266914277,0.7580678900946434,0.3952933165662607
19,战绳_19,0.861581216919037,0.30612244897959184,1.0,0.0734102665421542,0.8326779834627552,0.4917360685816788,0.13088623608422725,0.40909090909090906,0.2222222222222222,0.36601418901437266,0.9670070072034179,0.8418256758863455,0.6162146242061927
20,跑步_20,0.4821002901210519,0.5510204081632653,1.0,0.5150309788543207,0.14788143331525627,0.5333046699432438,0.37501306014285724,0.7904040404040402,0.0,0.17996388734499308,0.754721976605137,0.5672628479669797,0.33456827457816063
21,深蹲_21,0.9593032211977351,0.4897959183673469,0.0,0.7597647828635743,0.45146795060742984,0.13528539441238888,0.08635071627196067,0.22474747474747472,0.6666666666666666,0.9003295492956848,0.8746300047542103,0.4564119451116461,0.7948132920217493
22,卧推_22,0.3596080197938756,0.6122448979591837,1.0,0.6581783464735257,0.9113662791259802,0.6725142771704112,0.49994790238643183,0.8106060606060604,0.3333333333333333,0.4199314347763245,0.18498123289534626,0.8761593098740951,0.43067485430260205
23,引体向上_23,0.4799806560679422,0.24489795918367346,1.0,0.38937144513533856,0.3881919290478066,0.14036876490383313,0.45650687871704215,0.34090909090909083,0.2222222222222222,0.40065766306579614,0.6948612902230146,0.6363680710091931,0.2885354138640845
24,瑜伽_24,0.8902514780186535,0.6938775510204082,1.0,0.351340853768791,0.1032371273842567,0.7916981486399862,0.3577696195733781,0.3131313131313131,0.0,0.766031272493961,0.027917309324756234,0.7469825048553426,0.7362740474058237
25,平板支撑_25,0.47332616737732336,0.6326530612244898,1.0,0.274826794411215,0.3726576078043238,0.9654338443142729,0.0005206152679929193,0.648989898989899,1.0,0.5340202473821508,0.9529696781121683,0.8226059288691517,0.669285739795126
26,波比跳_26,0.47104796638999474,0.04081632653061224,1.0,0.7293890431379616,0.9032160428966438,0.26706249640861407,0.1202193281184094,0.38636363636363635,0.5555555555555556,0.6985597298264499,0.48650183731487706,0.36268039089427995,0.7150479032097351
27,俯卧撑_27,0.1687510494041004,0.9795918367346939,1.0,0.6700077470782992,0.6011271902450482,0.6819746918804296,0.055422371744092785,0.9242424242424242,0.4444444444444444,0.6156289560637342,0.3661021210346555,1.0,0.82611478482044
